City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
94,Campo Formoso,BR,2019-08-26 17:26:17,-10.51,-40.32,80.65,36,76,14.18,broken clouds,0.0,0
95,Omsukchan,RU,2019-08-26 17:26:17,62.53,155.8,44.83,92,100,3.62,overcast clouds,0.0,0
96,Port Hardy,CA,2019-08-26 17:26:18,50.7,-127.42,55.4,93,75,2.24,fog,0.0,0
97,Saint-Philippe,CA,2019-08-26 17:22:25,45.36,-73.48,79.0,50,1,3.36,clear sky,0.0,0
98,Zhezkazgan,KZ,2019-08-26 17:26:18,47.8,67.71,71.83,46,100,7.11,overcast clouds,0.0,0
99,Matamoros,US,2019-08-26 17:26:18,25.87,-97.51,96.8,53,40,24.16,scattered clouds,0.0,0
100,Talnakh,RU,2019-08-26 17:26:18,69.49,88.39,50.0,100,90,8.95,fog,0.0,0
101,Cap Malheureux,MU,2019-08-26 17:26:19,-19.98,57.61,72.0,60,75,11.41,broken clouds,0.0,0
102,Nambucca Heads,AU,2019-08-26 17:26:19,-30.64,152.99,59.0,93,75,8.05,broken clouds,0.0,0
103,Namibe,AO,2019-08-26 17:26:19,-15.19,12.15,71.6,78,40,17.22,scattered clouds,0.0,0
104,San Juan,AR,2019-08-26 17:26:20,-31.54,-68.53,69.49,11,1,4.41,clear sky,0.0,0
105,Thompson,CA,2019-08-26 17:24:02,55.74,-97.86,51.8,93,90,14.99,light rain,0.0,0
106,Saint-Joseph,FR,2019-08-26 17:26:20,43.56,6.97,89.6,51,0,4.7,clear sky,0.0,0
107,Khatanga,RU,2019-08-26 17:21:31,71.98,102.47,55.45,82,100,5.86,light rain,0.188,0
108,Mountain Home,US,2019-08-26 17:23:55,43.13,-115.69,71.6,28,1,11.41,clear sky,0.0,0
109,Timra,SE,2019-08-26 17:26:21,62.49,17.33,66.2,72,0,4.7,clear sky,0.0,0
110,Mareeba,AU,2019-08-26 17:26:21,-16.99,145.42,62.6,82,40,9.17,scattered clouds,0.0,0
111,Airai,TL,2019-08-26 17:26:21,-8.93,125.41,64.81,79,6,4.41,clear sky,0.0,0
112,Alekseyevka,RU,2019-08-26 17:26:22,53.25,50.49,59.0,58,0,2.24,clear sky,0.0,0
113,Luganville,VU,2019-08-26 17:26:22,-15.51,167.18,68.41,96,100,2.04,light rain,0.25,0
114,Half Moon Bay,US,2019-08-26 17:26:22,37.46,-122.43,79.0,77,5,3.36,clear sky,0.0,0
