City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,Lufilufi,-13.8745,-171.5986,78.58,76,100,14.9,WS,2022-11-29 07:15:01
115,Awbari,26.5921,12.7805,60.08,56,100,7.11,LY,2022-11-29 07:16:01
116,Peleduy,59.6289,112.7406,-11.96,96,100,4.0,RU,2022-11-29 07:16:02
117,Baykit,61.67,96.37,-1.35,94,100,4.43,RU,2022-11-29 07:17:02
118,Lompoc,34.6391,-120.4579,52.79,88,0,17.27,US,2022-11-29 07:12:44
119,Ambon,-3.6954,128.1814,87.94,62,40,9.22,ID,2022-11-29 07:17:03
120,Tuktoyaktuk,69.4541,-133.0374,-11.2,93,100,12.84,CA,2022-11-29 07:17:03
121,Chettipalaiyam,10.9,77.0667,78.75,78,75,4.61,IN,2022-11-29 07:18:04
122,Kumluca,36.3703,30.2869,61.02,76,100,2.84,TR,2022-11-29 07:18:04
123,Harer,9.3094,42.1258,70.97,21,2,5.55,ET,2022-11-29 07:18:05
124,Guerrero,17.6667,-100.0,63.61,88,80,4.36,MX,2022-11-29 07:18:05
125,Senneterre,48.3835,-77.2328,16.68,97,100,2.06,CA,2022-11-29 07:19:05
126,Grand Gaube,-20.0064,57.6608,82.8,63,98,11.01,MU,2022-11-29 07:19:06
127,Taoudenni,22.6783,-3.9836,58.95,32,0,12.95,ML,2022-11-29 07:19:06
128,San Jeronimo,-11.9472,-75.2829,46.99,88,100,2.66,PE,2022-11-29 07:19:07
129,Xuzhou,34.1805,117.1571,39.79,36,100,15.57,CN,2022-11-29 07:20:07
130,Tianpeng,30.9866,103.9393,57.67,43,100,7.02,CN,2022-11-29 07:20:08
131,Waw,7.7029,27.9953,89.17,36,57,2.39,SS,2022-11-29 07:20:08
132,Shelbyville,35.4834,-86.4603,46.29,93,0,3.44,US,2022-11-29 07:18:18
133,Carnarvon,-24.8667,113.6333,78.64,66,0,17.05,AU,2022-11-29 07:21:09
134,Noumea,-22.2763,166.4572,78.78,85,100,1.61,NC,2022-11-29 07:18:18
135,Ahuimanu,21.4447,-157.8378,72.54,92,20,3.44,US,2022-11-29 07:22:09
136,Marathon,44.9,-89.7668,37.35,91,75,8.05,US,2022-11-29 07:22:10
137,Marawi,7.9986,124.2928,76.62,80,97,6.62,PH,2022-11-29 07:22:10
138,Ilulissat,69.2167,-51.1,28.42,54,75,8.05,GL,2022-11-29 07:23:11
139,Itaueira,-7.6033,-43.0256,71.08,95,100,1.61,BR,2022-11-29 07:23:11
140,Ulladulla,-35.35,150.4667,62.06,60,67,9.86,AU,2022-11-29 07:23:11
141,Nikolskoye,59.7035,30.7861,26.8,95,100,4.25,RU,2022-11-29 07:23:14
142,Chicama,-7.8447,-79.1469,64.94,87,99,2.86,PE,2022-11-29 07:23:14
143,Ouango,4.3133,22.5552,78.66,75,98,1.07,CF,2022-11-29 07:24:15
144,Lebu,-37.6167,-73.65,54.93,89,93,13.82,CL,2022-11-29 07:24:15
145,San Rafael,-34.6177,-68.3301,75.18,41,36,3.53,AR,2022-11-29 07:24:16
146,Fallon,39.4735,-118.7774,34.92,61,100,5.75,US,2022-11-29 07:25:16
147,Barcelona,41.3888,2.159,51.71,77,20,16.11,ES,2022-11-29 07:24:30
148,Faanui,-16.4833,-151.75,79.43,75,4,12.15,PF,2022-11-29 07:24:32
149,Kenora,49.8167,-94.4337,22.17,73,75,13.8,CA,2022-11-29 07:26:17
150,Pisco,-13.7,-76.2167,66.25,88,40,2.3,PE,2022-11-29 07:23:19
151,Sisimiut,66.9395,-53.6735,18.84,70,100,6.64,GL,2022-11-29 07:27:18
152,Salo,45.6086,10.531,44.8,72,100,0.36,IT,2022-11-29 07:28:18
153,Belomorsk,64.5232,34.7668,18.23,97,72,5.48,RU,2022-11-29 07:28:19
154,Hayrabolu,41.2131,27.1069,48.54,82,100,11.43,TR,2022-11-29 07:28:19
155,Bambous Virieux,-20.3428,57.7575,82.65,65,75,14.97,MU,2022-11-29 07:29:19
156,Upata,8.0086,-62.3989,69.85,98,100,2.55,VE,2022-11-29 07:30:20
157,Esperance,-33.8667,121.9,68.14,62,0,20.24,AU,2022-11-29 07:30:20
158,Vao,-22.6667,167.4833,78.82,84,92,14.54,NC,2022-11-29 07:30:21
159,Ormara,25.2088,64.6357,78.87,49,67,5.46,PK,2022-11-29 07:30:21
160,Hofn,64.2539,-15.2082,36.72,75,99,5.77,IS,2022-11-29 07:31:22
